variable	Diss	SITE	Habitats	Sim	Site
DU_Gsed	0.756	DU	Gill-Sed	0.244	DU2
DU_Gsed	0.756	DU	Gill-Sed	0.244	DU2
DU_Gsed	0.756	DU	Gill-Sed	0.244	DU2
DU_Gsed	0.757	DU	Gill-Sed	0.243	DU2
DU_Gsed	0.757	DU	Gill-Sed	0.243	DU2
DU_Gsed	0.758	DU	Gill-Sed	0.242	DU2
DU_Gsed	0.758	DU	Gill-Sed	0.242	DU2
DU_Gsed	0.759	DU	Gill-Sed	0.241	DU2
DU_Gsed	0.759	DU	Gill-Sed	0.241	DU2
DU_Gsed	0.761	DU	Gill-Sed	0.239	DU2
DU_Gsed	0.761	DU	Gill-Sed	0.239	DU2
DU_Gsed	0.761	DU	Gill-Sed	0.239	DU2
DU_Gsed	0.762	DU	Gill-Sed	0.238	DU2
DU_Gsed	0.763	DU	Gill-Sed	0.237	DU2
DU_Gsed	0.763	DU	Gill-Sed	0.237	DU2
DU_Gsed	0.763	DU	Gill-Sed	0.237	DU2
DU_Gsed	0.764	DU	Gill-Sed	0.236	DU2
DU_Gsed	0.765	DU	Gill-Sed	0.235	DU2
DU_Gsed	0.765	DU	Gill-Sed	0.235	DU2
DU_Gsed	0.765	DU	Gill-Sed	0.235	DU2
DU_Gsed	0.766	DU	Gill-Sed	0.234	DU2
DU_Gsed	0.766	DU	Gill-Sed	0.234	DU2
DU_Gsed	0.768	DU	Gill-Sed	0.232	DU2
DU_Gsed	0.769	DU	Gill-Sed	0.231	DU2
DU_Gsed	0.769	DU	Gill-Sed	0.231	DU2
DU_Gsed	0.77	DU	Gill-Sed	0.23	DU2
DU_Gsed	0.77	DU	Gill-Sed	0.23	DU2
DU_Gsed	0.771	DU	Gill-Sed	0.229	DU2
DU_Gsed	0.772	DU	Gill-Sed	0.228	DU2
DU_Gsed	0.772	DU	Gill-Sed	0.228	DU2
DU_Gsed	0.772	DU	Gill-Sed	0.228	DU2
DU_Gsed	0.772	DU	Gill-Sed	0.228	DU2
DU_Gsed	0.773	DU	Gill-Sed	0.227	DU2
DU_Gsed	0.773	DU	Gill-Sed	0.227	DU2
DU_Gsed	0.774	DU	Gill-Sed	0.226	DU2
DU_Gsed	0.774	DU	Gill-Sed	0.226	DU2
DU_Gsed	0.775	DU	Gill-Sed	0.225	DU2
DU_Gsed	0.775	DU	Gill-Sed	0.225	DU2
DU_Gsed	0.775	DU	Gill-Sed	0.225	DU2
DU_Gsed	0.777	DU	Gill-Sed	0.223	DU2
DU_Gsed	0.777	DU	Gill-Sed	0.223	DU2
DU_Gsed	0.778	DU	Gill-Sed	0.222	DU2
DU_Gsed	0.779	DU	Gill-Sed	0.221	DU2
DU_Gsed	0.779	DU	Gill-Sed	0.221	DU2
DU_Gsed	0.779	DU	Gill-Sed	0.221	DU2
DU_Gsed	0.779	DU	Gill-Sed	0.221	DU2
DU_Gsed	0.78	DU	Gill-Sed	0.22	DU2
DU_Gsed	0.78	DU	Gill-Sed	0.22	DU2
DU_Gsed	0.78	DU	Gill-Sed	0.22	DU2
DU_Gsed	0.78	DU	Gill-Sed	0.22	DU2
DU_Gsed	0.78	DU	Gill-Sed	0.22	DU2
DU_Gsed	0.781	DU	Gill-Sed	0.219	DU2
DU_Gsed	0.781	DU	Gill-Sed	0.219	DU2
DU_Gsed	0.781	DU	Gill-Sed	0.219	DU2
DU_Gsed	0.782	DU	Gill-Sed	0.218	DU2
DU_Gsed	0.784	DU	Gill-Sed	0.216	DU2
DU_Gsed	0.786	DU	Gill-Sed	0.214	DU2
DU_Gsed	0.786	DU	Gill-Sed	0.214	DU2
DU_Gsed	0.786	DU	Gill-Sed	0.214	DU2
DU_Gsed	0.786	DU	Gill-Sed	0.214	DU2
DU_Gsed	0.786	DU	Gill-Sed	0.214	DU2
DU_Gsed	0.787	DU	Gill-Sed	0.213	DU2
DU_Gsed	0.788	DU	Gill-Sed	0.212	DU2
DU_Gsed	0.788	DU	Gill-Sed	0.212	DU2
DU_Gsed	0.788	DU	Gill-Sed	0.212	DU1
DU_Gsed	0.789	DU	Gill-Sed	0.211	DU1
DU_Gsed	0.789	DU	Gill-Sed	0.211	DU1
DU_Gsed	0.789	DU	Gill-Sed	0.211	DU1
DU_Gsed	0.789	DU	Gill-Sed	0.211	DU1
DU_Gsed	0.79	DU	Gill-Sed	0.21	DU1
