"","variable","value"
"895","RI_SS",NA
"896","RI_SS",NA
"897","RI_SS",NA
"898","RI_SS",NA
"899","RI_SS",NA
"900","RI_SS",NA
"901","RI_SS",NA
"902","RI_SS",NA
"903","RI_SS",NA
"904","RI_SS",NA
"905","RI_SS",NA
"906","RI_SS",NA
"907","RI_SS",NA
"908","RI_SS",NA
"909","RI_SS",NA
"910","RI_SS",NA
"911","RI_SS",NA
"912","RI_SS",NA
"913","RI_SS",NA
"914","RI_SS",NA
"915","RI_SS",NA
"916","RI_SS",NA
"917","RI_SS",NA
"918","RI_SS",NA
"919","RI_SS",NA
"920","RI_SS",NA
"921","RI_SS",NA
"922","RI_SS",NA
"923","RI_SS",NA
"924","RI_SS",NA
"925","RI_SS",NA
"926","RI_SS",NA
"927","RI_SS",NA
"928","RI_SS",NA
"929","RI_SS",NA
"930","RI_SS",NA
"931","RI_SS",NA
"932","RI_SS",NA
"933","RI_SS",NA
"934","RI_SS",NA
"935","RI_SS",NA
"936","RI_SS",NA
"937","RI_SS",NA
"938","RI_SS",NA
"939","RI_SS",NA
"940","RI_SS",NA
"941","RI_SS",NA
"942","RI_SS",NA
"943","RI_SS",NA
"944","RI_SS",NA
"945","RI_SS",NA
"946","RI_SS",NA
"947","RI_SS",NA
"948","RI_SS",NA
"949","RI_SS",NA
"950","RI_SS",NA
"951","RI_SS",NA
"952","RI_SS",NA
"953","RI_SS",NA
"954","RI_SS",NA
"955","RI_SS",NA
"956","RI_SS",NA
"957","RI_SS",NA
"958","RI_SS",NA
"959","RI_SS",NA
"960","RI_SS",NA
"961","RI_SS",NA
"962","RI_SS",NA
"963","RI_SS",NA
"964","RI_SS",NA
"965","RI_SS",NA
"966","RI_SS",NA
"967","RI_SS",NA
"968","RI_SS",NA
"969","RI_SS",NA
"970","RI_SS",NA
"971","RI_SS",NA
"972","RI_SS",NA
"973","RI_SS",NA
"974","RI_SS",NA
"975","RI_SS",NA
"976","RI_SS",NA
"977","RI_SS",NA
"978","RI_SS",NA
"979","RI_SS",NA
"980","RI_SS",NA
"981","RI_SS",NA
"982","RI_SS",NA
"983","RI_SS",NA
"984","RI_SS",NA
"985","RI_SS",NA
"986","RI_SS",NA
"987","RI_SS",NA
"988","RI_SS",NA
"989","RI_SS",NA
"990","RI_SS",NA
"991","RI_SS",NA
"992","RI_SS",NA
"993","RI_SS",NA
"994","RI_SS",NA
"995","RI_SS",NA
"996","RI_SS",NA
"997","RI_SS",NA
"998","RI_SS",NA
"999","RI_SS",NA
"1000","RI_SS",NA
"1001","RI_SS",NA
"1002","RI_SS",NA
"1003","RI_SS",NA
"1004","RI_SS",NA
"1005","RI_SS",NA
"1006","RI_SS",NA
"1007","RI_SS",NA
"1008","RI_SS",NA
"1009","RI_SS",NA
"1010","RI_SS",NA
"1011","RI_SS",NA
"1012","RI_SS",NA
"1013","RI_SS",NA
"1014","RI_SS",NA
"1015","RI_SS",NA
"1016","RI_SS",NA
"1017","RI_SS",NA
"1018","RI_SS",NA
"1019","RI_SS",NA
"1020","RI_SS",NA
"1021","RI_SS",NA
"1022","RI_SS",NA
"1023","RI_SS",NA
"1024","RI_SS",NA
"1025","RI_SS",NA
"1026","RI_SS",NA
"1027","RI_SS",NA
"1028","RI_SS",NA
"1029","RI_SS",NA
"1030","RI_SS",NA
"1031","RI_SS",NA
"1032","RI_SS",NA
"1033","RI_SS",NA
"1034","RI_SS",NA
"1035","RI_SS",NA
"1036","RI_SS",NA
"1037","RI_SS",NA
"1038","RI_SS",NA
"1039","RI_SS",NA
"1040","RI_SS",NA
"1041","RI_SS",NA
"1042","RI_SS",NA
"1043","RI_SS",NA
"1044","RI_SS",NA
"1045","RI_SS",NA
"1046","RI_SS",NA
"1047","RI_SS",NA
"1048","RI_SS",NA
"1049","RI_SS",NA
"1050","RI_SS",NA
"1051","RI_SS",NA
"1052","RI_SS",NA
"1053","RI_SS",NA
"1054","RI_SS",NA
"1055","RI_SS",NA
"1056","RI_SS",NA
"1057","RI_SS",NA
"1058","RI_SS",NA
"1059","RI_SS",NA
"1060","RI_SS",NA
"1061","RI_SS",NA
"1062","RI_SS",NA
"1063","RI_SS",NA
"1064","RI_SS",NA
"1065","RI_SS",NA
"1066","RI_SS",NA
"1067","RI_SS",NA
"1068","RI_SS",NA
"1069","RI_SS",NA
"1070","RI_SS",NA
"1071","RI_SS",NA
"1072","RI_SS",NA
"1073","RI_SS",NA
"1074","RI_SS",NA
"1075","RI_SS",NA
"1076","RI_SS",NA
"1077","RI_SS",NA
"1078","RI_SS",NA
"1079","RI_SS",NA
"1080","RI_SS",NA
"1081","RI_SS",NA
"1082","RI_SS",NA
"1083","RI_SS",NA
"1084","RI_SS",NA
"1085","RI_SS",NA
"1086","RI_SS",NA
"1087","RI_SS",NA
"1088","RI_SS",NA
"1089","RI_SS",NA
"1090","RI_SS",NA
"1091","RI_SS",NA
"1092","RI_SS",NA
"1093","RI_SS",NA
"1094","RI_SS",NA
"1095","RI_SS",NA
"1096","RI_SS",NA
"1097","RI_SS",NA
"1098","RI_SS",NA
"1099","RI_SS",NA
"1100","RI_SS",NA
"1101","RI_SS",NA
"1102","RI_SS",NA
"1103","RI_SS",NA
"1104","RI_SS",NA
"1105","RI_SS",NA
"1106","RI_SS",NA
"1107","RI_SS",NA
"1108","RI_SS",NA
"1109","RI_SS",NA
"1110","RI_SS",NA
"1111","RI_SS",NA
"1112","RI_SS",NA
"1113","RI_SS",NA
"1114","RI_SS",NA
"1115","RI_SS",NA
"1116","RI_SS",NA
"1117","RI_SS",NA
"1118","RI_SS",NA
"1119","RI_SS",NA
"1120","RI_SS",NA
"1121","RI_SS",NA
"1122","RI_SS",NA
"1123","RI_SS",NA
"1124","RI_SS",NA
"1125","RI_SS",NA
"1126","RI_SS",NA
"1127","RI_SS",NA
"1128","RI_SS",NA
"1129","RI_SS",NA
"1130","RI_SS",NA
"1131","RI_SS",NA
"1132","RI_SS",NA
"1133","RI_SS",NA
"1134","RI_SS",NA
"1135","RI_SS",NA
"1136","RI_SS",NA
"1137","RI_SS",NA
"1138","RI_SS",NA
"1139","RI_SS",NA
"1140","RI_SS",NA
"1141","RI_SS",NA
"1142","RI_SS",NA
"1143","RI_SS",NA
"1144","RI_SS",NA
"1145","RI_SS",NA
"1146","RI_SS",NA
"1147","RI_SS",NA
"1148","RI_SS",NA
"1149","RI_SS",NA
